AcademicYear,AggregateLevel,CountyCode,DistrictCode,SchoolCode,CountyName,DistrictName,SchoolName,CharterYN,ReportingCategory,CumulativeEnrollment,Total Suspensions,Unduplicated Count of Students Suspended (Total),Unduplicated Count of Students Suspended (Defiance-Only),Suspension Rate (Total),Suspension Count Violent Incident (Injury),Suspension Count Violent Incident (No Injury),Suspension Count Weapons Possession,Suspension Count Illicit Drug-Related,Suspension Count Defiance-Only,Suspension Count Other Reasons
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,All,SE,431,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,All,SF,17,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,All,SH,179,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,All,SS,1603,2,2,0,0.1,0,2,0,0,0,0
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,All,TA,3361,6,5,0,0.1,1,5,0,0,0,0
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,No,GF,1630,2,1,0,0.1,0,2,0,0,0,0
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,No,GM,1731,4,4,0,0.2,1,3,0,0,0,0
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,No,RA,1197,1,1,0,0.1,1,0,0,0,0,0
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,No,RB,91,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,No,RD,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,No,RF,173,1,1,0,0.6,0,1,0,0,0,0
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,No,RH,1025,1,1,0,0.1,0,1,0,0,0,0
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,No,RI,12,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,No,RP,19,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,No,RT,281,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,No,RW,561,3,2,0,0.4,0,3,0,0,0,0
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,No,SD,609,4,3,0,0.5,0,4,0,0,0,0
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,No,SE,431,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,No,SF,17,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,No,SH,179,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,No,SS,1603,2,2,0,0.1,0,2,0,0,0,0
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,No,TA,3361,6,5,0,0.1,1,5,0,0,0,0
2024-25,D,30,66498,0,Orange,Fountain Valley Elementary,District Office,All,GF,2964,25,18,1,0.6,1,13,1,8,1,1
