cds,county,district,school,el_count,reclass_count,year,reclass_rate,org_level_num,county_code,district_code,school_code,charter_num,dass_num
30664496101901,Orange,Brea-Olinda Unified,Brea Country Hills Elementary,60,18,25,0.3,4,30,66449,6101901,0,0
30664560000001,Orange,Buena Park Elementary,"Nonpublic, Nonsectarian Schools",2,0,19,0,4,30,66456,0000001,,
30664560000001,Orange,Buena Park Elementary,"Nonpublic, Nonsectarian Schools",2,0,20,0,4,30,66456,0000001,,
30664560000001,Orange,Buena Park Elementary,"Nonpublic, Nonsectarian Schools",1,0,21,0,4,30,66456,0000001,,
30664560000001,Orange,Buena Park Elementary,"Nonpublic, Nonsectarian Schools",2,0,25,0,4,30,66456,0000001,0,0
30664560140244,Orange,Buena Park Elementary,Buena Park Learning Center,11,0,21,0,4,30,66456,0140244,,
30664566027486,Orange,Buena Park Elementary,Arthur F. Corey Elementary,111,9,19,0.0810810810810811,4,30,66456,6027486,,
30664566027486,Orange,Buena Park Elementary,Arthur F. Corey Elementary,100,23,20,0.23,4,30,66456,6027486,,
30664566027486,Orange,Buena Park Elementary,Arthur F. Corey Elementary,86,11,21,0.127906976744186,4,30,66456,6027486,,
30664566027486,Orange,Buena Park Elementary,Arthur F. Corey Elementary,67,9,25,0.134328358208955,4,30,66456,6027486,0,0
30664566027494,Orange,Buena Park Elementary,Carl E. Gilbert Elementary,362,1,19,0.00276243093922652,4,30,66456,6027494,,
30664566027494,Orange,Buena Park Elementary,Carl E. Gilbert Elementary,327,50,20,0.152905198776758,4,30,66456,6027494,,
30664566027494,Orange,Buena Park Elementary,Carl E. Gilbert Elementary,318,35,21,0.110062893081761,4,30,66456,6027494,,
30664566027494,Orange,Buena Park Elementary,Carl E. Gilbert Elementary,218,18,25,0.0825688073394496,4,30,66456,6027494,0,0
30664566027510,Orange,Buena Park Elementary,Charles G. Emery Elementary,226,9,19,0.0398230088495575,4,30,66456,6027510,,
30664566027510,Orange,Buena Park Elementary,Charles G. Emery Elementary,195,59,20,0.302564102564103,4,30,66456,6027510,,
30664566027510,Orange,Buena Park Elementary,Charles G. Emery Elementary,196,23,21,0.11734693877551,4,30,66456,6027510,,
30664566027510,Orange,Buena Park Elementary,Charles G. Emery Elementary,163,24,25,0.147239263803681,4,30,66456,6027510,0,0
30664566027536,Orange,Buena Park Elementary,Gordon H. Beatty Elementary,378,11,19,0.0291005291005291,4,30,66456,6027536,,
30664566027536,Orange,Buena Park Elementary,Gordon H. Beatty Elementary,320,67,20,0.209375,4,30,66456,6027536,,
30664566027536,Orange,Buena Park Elementary,Gordon H. Beatty Middle,130,22,21,0.169230769230769,4,30,66456,6027536,,
30664566027536,Orange,Buena Park Elementary,Gordon H. Beatty Middle,140,28,25,0.2,4,30,66456,6027536,0,0
30664566027551,Orange,Buena Park Elementary,Buena Park Junior High,297,23,19,0.0774410774410774,4,30,66456,6027551,,
30664566027551,Orange,Buena Park Elementary,Buena Park Junior High,250,71,20,0.284,4,30,66456,6027551,,
30664566027551,Orange,Buena Park Elementary,Buena Park Middle,297,27,21,0.0909090909090909,4,30,66456,6027551,,
30664566027551,Orange,Buena Park Elementary,Buena Park Middle,202,24,25,0.118811881188119,4,30,66456,6027551,0,0
30664566027569,Orange,Buena Park Elementary,James A. Whitaker Elementary,269,2,19,0.00743494423791822,4,30,66456,6027569,,
30664566027569,Orange,Buena Park Elementary,James A. Whitaker Elementary,227,42,20,0.185022026431718,4,30,66456,6027569,,
30664566027569,Orange,Buena Park Elementary,James A. Whitaker Elementary,206,22,21,0.106796116504854,4,30,66456,6027569,,
30664566027569,Orange,Buena Park Elementary,James A. Whitaker Elementary,176,11,25,0.0625,4,30,66456,6027569,0,0
30664566027577,Orange,Buena Park Elementary,Mabel L. Pendleton Elementary,166,10,19,0.0602409638554217,4,30,66456,6027577,,
30664566027577,Orange,Buena Park Elementary,Mabel L. Pendleton Elementary,160,20,20,0.125,4,30,66456,6027577,,
30664566027577,Orange,Buena Park Elementary,Mabel L. Pendleton Elementary,138,12,21,0.0869565217391304,4,30,66456,6027577,,
30664566027577,Orange,Buena Park Elementary,Mabel L. Pendleton Elementary,106,10,25,0.0943396226415094,4,30,66456,6027577,0,0
